label,n_samples,P_real_real_mean,P_real_real_std,P_blank_blank_mean,P_blank_blank_std,P_realText_blankImage_mean,P_realText_blankImage_std,P_blankText_realImage_mean,P_blankText_realImage_std,cos_text_real_vs_blank_mean,cos_text_real_vs_blank_std,cos_image_real_vs_blank_mean,cos_image_real_vs_blank_std
Pneumothorax,30,0.6342578222354253,0.11706736067507725,0.1517081640660763,0.11130098777726614,0.16976486866672832,0.12219710703328318,0.5583907634019851,0.08802429909178348,0.4564279248317083,0.04062557760193942,0.20756147441764672,0.23755804709221573
Cardiomegaly,30,0.7552323989570141,0.22294600354291266,0.24770810107390087,0.07672586855144364,0.2575327331821124,0.16730326103826407,0.7517706781625748,0.1595691386086251,0.4592700789372126,0.06344163568854938,0.09775180978079637,0.20710573779719024
Effusion,30,0.7898180782794952,0.1883294484205712,0.2352748319506645,0.09253384622925996,0.23276154572765032,0.11272072689753194,0.7519127150376638,0.17278252740798988,0.44770433704058327,0.05824891950048395,0.053465675376355645,0.12706337974454496
Normal,30,0.9801166494687398,0.01168083021696685,0.8923637111981709,0.05085389748929945,0.9549542307853699,0.021925157093080874,0.9522591829299927,0.03262246770451845,0.474157577753067,0.03955561856888004,0.7215785841147105,0.08716779518656455
